flat,flon,tlat,tlon
25.7208208,-80.27966005,25.72083111,-80.2796525
25.72083111,-80.2796525,25.7208411,-80.27965478
25.7208411,-80.27965478,25.72084997,-80.27965291
25.72084997,-80.27965291,25.72085001,-80.27965387
25.72085001,-80.27965387,25.72085009,-80.27965374
25.72085009,-80.27965374,25.72084999,-80.27965398
25.72084999,-80.27965398,25.72085038,-80.27965361
25.72085038,-80.27965361,25.72085155,-80.27965293
25.72085155,-80.27965293,25.72085191,-80.27965273
25.72085191,-80.27965273,25.7208526,-80.27965186
25.7208526,-80.27965186,25.7207191,-80.27937375
25.7207191,-80.27937375,25.72053197,-80.27920154
25.72053197,-80.27920154,25.72045907,-80.27915903
25.72045907,-80.27915903,25.72041818,-80.27916997
25.72041818,-80.27916997,25.72029412,-80.27927127
25.72029412,-80.27927127,25.71995899,-80.28027638
25.71995899,-80.28027638,25.7190261,-80.28072685
25.7190261,-80.28072685,25.71838331,-80.28053971
25.71838331,-80.28053971,25.71785574,-80.28072487
25.71785574,-80.28072487,25.71717254,-80.28040954
25.71717254,-80.28040954,25.71742756,-80.27996861
25.71742756,-80.27996861,25.7171181,-80.27846953
25.7171181,-80.27846953,25.71767901,-80.2772863
25.71767901,-80.2772863,25.71863257,-80.27531705
25.71863257,-80.27531705,25.71960528,-80.27500135
25.71960528,-80.27500135,25.72049054,-80.27581706
25.72049054,-80.27581706,25.72081078,-80.27592756
25.72081078,-80.27592756,25.72106215,-80.27574158
25.72106215,-80.27574158,25.72132609,-80.27546925
25.72132609,-80.27546925,25.72146848,-80.27547505
25.72146848,-80.27547505,25.72159409,-80.27552188
25.72159409,-80.27552188,25.7217074,-80.27557974
25.7217074,-80.27557974,25.72174347,-80.27558484
25.72174347,-80.27558484,25.72178253,-80.27574554
25.72178253,-80.27574554,25.7218065,-80.27579232
25.7218065,-80.27579232,25.72172967,-80.27592881
25.72172967,-80.27592881,25.72170296,-80.2759836
25.72170296,-80.2759836,25.72176081,-80.27606419
25.72176081,-80.27606419,25.72183608,-80.27613913
25.72183608,-80.27613913,25.72190696,-80.27625039
25.72190696,-80.27625039,25.72207205,-80.27642171
25.72207205,-80.27642171,25.72211098,-80.27646264
25.72211098,-80.27646264,25.72222477,-80.27656695
25.72222477,-80.27656695,25.72237185,-80.27658967
25.72237185,-80.27658967,25.72243599,-80.27656827
25.72243599,-80.27656827,25.72255931,-80.27650507
25.72255931,-80.27650507,25.72264979,-80.27652839
25.72264979,-80.27652839,25.72273921,-80.27651304
25.72273921,-80.27651304,25.72290472,-80.27650591
25.72290472,-80.27650591,25.72306389,-80.2767734
25.72306389,-80.2767734,25.72278714,-80.27709793
25.72278714,-80.27709793,25.72205396,-80.27628747
25.72205396,-80.27628747,25.72216124,-80.27630976
25.72216124,-80.27630976,25.72211962,-80.27636871
25.72211962,-80.27636871,25.72218586,-80.27649447
